Id,Label,Weight
0,The Exploited,0.010795758193756264
1,Special Duties,0.0
2,Tricky,0.007921140968751916
3,PJ Harvey,0.011797005353449627
4,Bob Dylan,0.20810487967479677
5,Leonard Cohen,0.03454836221060996
6,The Gun Club,0.008878980599859964
7,Chrissie Hynde,0.0032351751624722152
8,Crime & the City Solution,0.0032717179382987845
9,Lesley Gore,0.004279791869918699
10,Massive Attack,0.017119167479674798
11,Nick Cave,0.01190135951305229
12,The Raincoats,0.005349739837398375
13,Pretenders,0.018189115447154475
14,Tom Waits,0.026068073976630277
15,Marianne Faithfull,0.007692849300408876
16,Patti Smith,0.024073829268292685
17,Sonic Youth,0.037983152845528466
18,Pere Ubu,0.013909323577235774
19,Pixies,0.04482886515069905
20,The Smiths,0.04443041836157972
21,X,0.022265047423515365
22,Captain Beefheart,0.018189115447154475
23,Bad Brains,0.021135434630278428
24,P.O.D.,0.0014018380711673666
25,Black Flag,0.0500069758270611
26,Korn,0.019794037398373984
27,Faith No More,0.024685241077085533
28,Eek-A-Mouse,0.006486143315927293
29,Santana,0.01725013709422647
30,Primus,0.010657779195993604
31,Metallica,0.059917086178861795
32,311,0.0095420421746116
33,Suicidal Tendencies,0.012626870539210308
34,Sepultura,0.011234453658536588
35,Extreme,0.0016049219512195123
36,Tool,0.014185732509704271
37,Fishbone,0.012177682592503607
38,Jane's Addiction,0.02352226258726136
39,Living Colour,0.005757986835090948
40,Rage Against the Machine,0.027622527374847043
41,Red Hot Chili Peppers,0.02233479662842401
42,BÃ©la Fleck,0.005884713821138212
43,Tony Furtado,1.836598959382049e-05
44,Sam Bush,0.0055874504959409575
45,Trey Anastasio,0.0009206387263160891
46,Alice Cooper,0.03637823089430895
47,Soundgarden,0.022468907317073177
48,Spinal Tap,0.005349739837398375
49,Blue Cheer,0.015225554147739776
50,Blue Ã–yster Cult,0.011880396319051459
51,Killing Joke,0.01238494464705037
52,Kiss,0.047765021147319835
53,Crazy Horse,0.008967111227164693
