influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
76881,Jimmy Reed,Blues,1940,28166,Slim Harpo,Blues,1950
680522,Yaz,Pop/Rock,1980,20919,Amber,Electronic,1990
97529,Booker Little,Jazz,1950,20971,Terence Blanchard,Jazz,1980
944310,George Jones,Country,1950,13384,Tanya Tucker,Country,1970
771438,Black Sabbath,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980
76057,King Crimson,Pop/Rock,1960,14757,Trans-Siberian Orchestra,Classical,1990
81017,Kitaro,New Age,1970,14757,Trans-Siberian Orchestra,Classical,1990
936190,Stevie Nicks,Pop/Rock,1960,11754,Sheena Easton,Pop/Rock,1980
62823,Bad Religion,Pop/Rock,1980,10982,All,Pop/Rock,1980
300245,Rick Wakeman,Pop/Rock,1960,13101,Patrick O'Hearn,New Age,1980
38490,The Band,Pop/Rock,1960,10412,Spin Doctors,Pop/Rock,1980
838272,Pere Ubu,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990
745241,Status Quo,Pop/Rock,1960,12654,Spinal Tap,Comedy/Spoken,1980
349157,Melvins,Pop/Rock,1980,1098,Soundgarden,Pop/Rock,1980
305501,Roger,R&B;,1970,18176,Teddy Riley,R&B;,1980
446509,Metallica,Pop/Rock,1980,1098,Soundgarden,Pop/Rock,1980
