influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
531986,David Bowie,Pop/Rock,1960,26193,Andrew Bird,Pop/Rock,1990
346336,Pink Floyd,Pop/Rock,1960,61938,Blue Ã–yster Cult,Pop/Rock,1960
680522,Yaz,Pop/Rock,1980,20919,Amber,Electronic,1990
76881,Jimmy Reed,Blues,1940,28166,Slim Harpo,Blues,1950
71209,Leonard Cohen,Pop/Rock,1950,335,PJ Harvey,Pop/Rock,1990
62823,Bad Religion,Pop/Rock,1980,10982,All,Pop/Rock,1980
747445,Patti Smith,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990
848784,Roy Acuff,Country,1930,32193,Tex Williams,Country,1940
577627,The Who,Pop/Rock,1960,5882,T. Rex,Pop/Rock,1960
285272,Rosanne Cash,Country,1970,13387,Shawn Colvin,Pop/Rock,1970
91650,Black Flag,Pop/Rock,1970,441,P.O.D.,Pop/Rock,1990
336783,Nick Drake,Pop/Rock,1960,31606,Smog,Pop/Rock,1990
528221,Dave Van Ronk,Folk,1950,38936,Simon & Garfunkel,Pop/Rock,1950
927627,Mose Allison,Jazz,1950,58549,Elvis Costello,Pop/Rock,1970
622805,Stevie Wonder,R&B;,1960,17877,Terence Trent D'Arby,R&B;,1980
273531,Liza Minnelli,Vocal,1940,17937,Patti LuPone,Vocal,1960
84209,Kiss,Pop/Rock,1970,1098,Soundgarden,Pop/Rock,1980
771010,The Left Banke,Pop/Rock,1960,61637,Beulah,Pop/Rock,1990
84053,The Jam,Pop/Rock,1970,58947,The Chords,Pop/Rock,1970
840402,The Velvet Underground,Pop/Rock,1960,49374,Simple Minds,Pop/Rock,1970
29067,The Action,Pop/Rock,1960,31556,Supergrass,Pop/Rock,1990
