influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
858827,Queen,Pop/Rock,1970,79960,Boston,Pop/Rock,1970
208404,Dexter Gordon,Jazz,1940,81231,Bobby Hutcherson,Jazz,1960
608945,Brandy,R&B;,1990,48903,Blu Cantrell,R&B;,2000
848784,Roy Acuff,Country,1930,57923,Bill Anderson,Country,1950
49062,Simple Plan,Pop/Rock,1990,72941,Circa Survive,Pop/Rock,2000
192925,John Renbourn,Folk,1960,45077,Leo Kottke,Folk,1960
84209,Kiss,Pop/Rock,1970,69534,Bon Jovi,Pop/Rock,1980
848952,"Richard ""Groove"" Holmes",Jazz,1950,76658,Jimmy McGriff,Jazz,1950
149044,Barry White,R&B;,1960,35076,Soul II Soul,R&B;,1980
344275,Mel Torm̩,Vocal,1930,18977,Barry Manilow,Pop/Rock,1970
389979,Ralph Stanley,Country,1940,81561,Keith Whitley,Country,1970
642542,Burt Bacharach,Pop/Rock,1950,18977,Barry Manilow,Pop/Rock,1970
487186,Suicide,Pop/Rock,1970,61172,The Cars,Pop/Rock,1970
686897,Linda Ronstadt,Pop/Rock,1960,80780,Sheryl Crow,Pop/Rock,1990
180228,Elvis Presley,Pop/Rock,1950,66429,Bobby Bare,Country,1950
267354,Horace Silver,Jazz,1950,81841,Kenny Drew,Jazz,1950
228444,Lee Ritenour,Jazz,1960,68934,Kenny G,Jazz,1970
809266,Ultravox,Pop/Rock,1970,58934,The Faint,Pop/Rock,1990
35587,Sick of It All,Pop/Rock,1980,48811,Atreyu,Pop/Rock,1990
402872,The Meters,R&B;,1960,77175,Bob Weir,Pop/Rock,1960
617196,Brian Eno,Pop/Rock,1970,67631,The Chemical Brothers,Electronic,1990
418740,Sex Pistols,Pop/Rock,1970,74520,The Hives,Pop/Rock,1990
489303,The Yardbirds,Pop/Rock,1960,84209,Kiss,Pop/Rock,1970
848784,Roy Acuff,Country,1930,14651,Patsy Cline,Country,1950
