influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
750203,Slim Gaillard,Vocal,1930,53221,Big Bad Voodoo Daddy,Pop/Rock,1990
31274,Alan Parsons,Pop/Rock,1970,14757,Trans-Siberian Orchestra,Classical,1990
500992,MÃ¶tley CrÃ¼e,Pop/Rock,1980,41283,Andrew W.K.,Pop/Rock,1990
659517,Grand Funk Railroad,Pop/Rock,1960,69534,Bon Jovi,Pop/Rock,1980
128099,James Brown,R&B;,1950,25778,Slave,R&B;,1970
792925,Fear,Pop/Rock,1970,22124,Slayer,Pop/Rock,1980
177060,Janis Joplin,Pop/Rock,1960,53739,Bette Midler,Vocal,1970
934069,Brenda Lee,Country,1950,20760,Shelby Lynne,Country,1980
686897,Linda Ronstadt,Pop/Rock,1960,22257,Patty Smyth,Pop/Rock,1980
84053,The Jam,Pop/Rock,1970,58947,The Chords,Pop/Rock,1970
354105,Jimi Hendrix,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980
287604,Louis Jordan,Jazz,1930,53221,Big Bad Voodoo Daddy,Pop/Rock,1990
