influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
927627,Mose Allison,Jazz,1950,11707,Steely Dan,Pop/Rock,1970
76057,King Crimson,Pop/Rock,1960,29808,Tesla,Pop/Rock,1980
806247,Charlie Daniels,Country,1950,15318,Travis Tritt,Country,1980
44764,Blondie,Pop/Rock,1970,26164,Sleater-Kinney,Pop/Rock,1990
6334,Tony Bennett,Vocal,1940,70715,Bobby Darin,Pop/Rock,1950
175286,Dolly Parton,Country,1950,19241,Patty Loveless,Country,1970
485191,The Pastels,Pop/Rock,1980,66869,The Field Mice,Pop/Rock,1980
936190,Stevie Nicks,Pop/Rock,1960,11754,Sheena Easton,Pop/Rock,1980
58549,Elvis Costello,Pop/Rock,1970,83554,Billy Bragg,Pop/Rock,1980
747445,Patti Smith,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990
852855,Roxy Music,Pop/Rock,1970,19892,Tears for Fears,Pop/Rock,1980
825168,The Jones Girls,R&B;,1960,6568,Alicia Myers,R&B;,1980
160054,Sham 69,Pop/Rock,1970,83554,Billy Bragg,Pop/Rock,1980
745241,Status Quo,Pop/Rock,1960,12654,Spinal Tap,Comedy/Spoken,1980
91650,Black Flag,Pop/Rock,1970,4451,T.S.O.L.,Pop/Rock,1980
38977,The Associates,Pop/Rock,1980,47033,The Blue Nile,Pop/Rock,1980
28692,Terry Gibbs,Jazz,1940,6143,Alice Coltrane,Jazz,1960
840402,The Velvet Underground,Pop/Rock,1960,16438,Television Personalities,Pop/Rock,1970
