influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
418955,The Shangri-Las,Pop/Rock,1960,28772,The 5th Dimension,Pop/Rock,1960
112017,Jo Stafford,Vocal,1930,2273,Allan Sherman,Comedy/Spoken,1960
81083,Bill Monroe,Country,1940,46699,The Everly Brothers,Pop/Rock,1950
259800,Saxon,Pop/Rock,1970,22124,Slayer,Pop/Rock,1980
572737,Helmet,Pop/Rock,1980,5501,System of a Down,Pop/Rock,1990
500992,MÃ¶tley CrÃ¼e,Pop/Rock,1980,41283,Andrew W.K.,Pop/Rock,1990
766533,Bolt Thrower,Pop/Rock,1980,22369,Amon Amarth,Pop/Rock,1990
424244,Ozzy Osbourne,Pop/Rock,1960,5441,Pantera,Pop/Rock,1980
354105,Jimi Hendrix,Pop/Rock,1960,21009,Slash,Pop/Rock,1980
894956,Otis Rush,Blues,1950,44994,Sonny Landreth,Blues,1970
66915,Bob Dylan,Pop/Rock,1960,38490,The Band,Pop/Rock,1960
190946,Lefty Frizzell,Country,1950,66915,Bob Dylan,Pop/Rock,1960
131627,Creedence Clearwater Revival,Pop/Rock,1960,8549,Sparklehorse,Pop/Rock,1990
928942,Art Blakey,Jazz,1940,21747,Chuck Mangione,Jazz,1960
921306,808 State,Electronic,1980,67631,The Chemical Brothers,Electronic,1990
120521,Chuck Berry,Pop/Rock,1950,61534,The Bobby Fuller Four,Pop/Rock,1960
200791,Waylon Jennings,Country,1950,26510,Terry Allen,Country,1970
