influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
792925,Fear,Pop/Rock,1970,22124,Slayer,Pop/Rock,1980
177060,Janis Joplin,Pop/Rock,1960,53739,Bette Midler,Vocal,1970
96613,Bonnie Raitt,Pop/Rock,1960,22257,Patty Smyth,Pop/Rock,1980
767068,Keith Richards,Pop/Rock,1960,3669,Southern Culture on the Skids,Pop/Rock,1980
744265,Tony Joe White,Pop/Rock,1960,3669,Southern Culture on the Skids,Pop/Rock,1980
532957,Cab Calloway,Jazz,1930,3829,T-Bone Walker,Blues,1930
747445,Patti Smith,Pop/Rock,1970,26164,Sleater-Kinney,Pop/Rock,1990
624215,The Brothers Johnson,R&B;,1960,61044,Bobby Brown,R&B;,1980
94210,Chet Baker,Jazz,1950,58549,Elvis Costello,Pop/Rock,1970
94224,Ike & Tina Turner,R&B;,1960,78044,Bill Withers,R&B;,1960
238115,Sam Cooke,R&B;,1950,78044,Bill Withers,R&B;,1960
38490,The Band,Pop/Rock,1960,61041,The Coral,Pop/Rock,1990
