influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
52900,The Lovin' Spoonful,Folk,1960,19297,America,Pop/Rock,1970
500992,MÃ¶tley CrÃ¼e,Pop/Rock,1980,41283,Andrew W.K.,Pop/Rock,1990
792925,Fear,Pop/Rock,1970,22124,Slayer,Pop/Rock,1980
891063,Misfits,Pop/Rock,1970,22124,Slayer,Pop/Rock,1980
345734,Rosemary Clooney,Vocal,1940,58360,Betty Buckley,Vocal,1970
177060,Janis Joplin,Pop/Rock,1960,22257,Patty Smyth,Pop/Rock,1980
491220,The Ronettes,Pop/Rock,1950,22257,Patty Smyth,Pop/Rock,1980
200791,Waylon Jennings,Country,1950,26510,Terry Allen,Country,1970
659517,Grand Funk Railroad,Pop/Rock,1960,69534,Bon Jovi,Pop/Rock,1980
806829,Jane's Addiction,Pop/Rock,1980,50251,Blind Melon,Pop/Rock,1990
177060,Janis Joplin,Pop/Rock,1960,53739,Bette Midler,Vocal,1970
354105,Jimi Hendrix,Pop/Rock,1960,58438,Betty Davis,R&B;,1960
84053,The Jam,Pop/Rock,1970,58947,The Chords,Pop/Rock,1970
747445,Patti Smith,Pop/Rock,1970,26164,Sleater-Kinney,Pop/Rock,1990
762500,Bikini Kill,Pop/Rock,1990,26164,Sleater-Kinney,Pop/Rock,1990
38490,The Band,Pop/Rock,1960,61041,The Coral,Pop/Rock,1990
