influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
58549,Elvis Costello,Pop/Rock,1970,44663,Angela McCluskey,Pop/Rock,2000
105354,Cheap Trick,Pop/Rock,1970,31556,Supergrass,Pop/Rock,1990
190021,John Holt,Reggae,1960,24309,Stephen Marley,Reggae,2000
43714,Bee Gees,Pop/Rock,1960,79044,The Lightning Seeds,Pop/Rock,1980
571845,Margaret Whiting,Vocal,1940,47134,Susannah McCorkle,Vocal,1970
123915,Christine McVie,Pop/Rock,1960,80780,Sheryl Crow,Pop/Rock,1990
204386,James Taylor,Pop/Rock,1960,73969,Jon Foreman,Pop/Rock,2000
154533,Ewan MacColl,Folk,1940,75591,The Corrs,Pop/Rock,1990
793988,Eddie Cochran,Pop/Rock,1950,58372,Faces,Pop/Rock,1960
184091,Don Henley,Pop/Rock,1970,80780,Sheryl Crow,Pop/Rock,1990
26023,The Apples in Stereo,Pop/Rock,1990,61637,Beulah,Pop/Rock,1990
137390,The Cure,Pop/Rock,1970,80609,Boys Don't Cry,Pop/Rock,1980
164594,Ben E. King,R&B;,1950,20278,Teddy Pendergrass,R&B;,1970
243008,Weezer,Pop/Rock,1990,65040,Biffy Clyro,Pop/Rock,1990
212612,Johnny Hartman,Vocal,1950,27916,Terry Callier,R&B;,1960
926548,Iggy Pop,Pop/Rock,1960,73421,The Clean,Pop/Rock,1970
490141,The Weirdos,Pop/Rock,1970,75264,Bad Brains,Pop/Rock,1970
394806,Randy Newman,Pop/Rock,1960,73444,Bob Schneider,Pop/Rock,1990
