influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
751613,Andrea Bocelli,Classical,1990,51603,Charlotte Church,Classical,1990
66915,Bob Dylan,Pop/Rock,1960,13387,Shawn Colvin,Pop/Rock,1970
342833,Mel Brooks,Comedy/Spoken,1950,70534,Bill Cosby,Comedy/Spoken,1960
488378,Os Mutantes,International,1960,26520,Stereolab,Pop/Rock,1990
806247,Charlie Daniels,Country,1950,72716,The Kentucky Headhunters,Country,1980
208774,Janet Jackson,R&B;,1970,5307,Alicia Keys,R&B;,1990
75100,Bad Company,Pop/Rock,1970,39637,Survivor,Pop/Rock,1980
214162,Vince Gill,Country,1970,46814,Blake Shelton,Country,1990
927627,Mose Allison,Jazz,1950,58549,Elvis Costello,Pop/Rock,1970
177060,Janis Joplin,Pop/Rock,1960,80780,Sheryl Crow,Pop/Rock,1990
287604,Louis Jordan,Jazz,1930,53221,Big Bad Voodoo Daddy,Pop/Rock,1990
612716,Tom Petty,Pop/Rock,1970,47789,BoDeans,Pop/Rock,1980
944310,George Jones,Country,1950,81561,Keith Whitley,Country,1970
228444,Lee Ritenour,Jazz,1960,68934,Kenny G,Jazz,1970
180228,Elvis Presley,Pop/Rock,1950,70800,Billy Idol,Pop/Rock,1970
825087,Living Colour,Pop/Rock,1980,78191,Body Count,Pop/Rock,1980
180449,Freddie Jackson,R&B;,1980,61226,Babyface,R&B;,1970
501407,Moțrhead,Pop/Rock,1970,50493,Soulfly,Pop/Rock,1990
582313,The Zombies,Pop/Rock,1960,32971,The Beautiful South,Pop/Rock,1980
