influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
579458,Luciano Pavarotti,Classical,1960,51603,Charlotte Church,Classical,1990
751613,Andrea Bocelli,Classical,1990,51603,Charlotte Church,Classical,1990
66915,Bob Dylan,Pop/Rock,1960,19297,America,Pop/Rock,1970
87985,The Hollies,Pop/Rock,1960,19297,America,Pop/Rock,1970
361393,Prince,R&B;,1970,17748,Patti LaBelle,R&B;,1950
936190,Stevie Nicks,Pop/Rock,1960,11754,Sheena Easton,Pop/Rock,1980
489606,Millie Small,Reggae,1960,75394,Bad Manners,Pop/Rock,1980
754032,The Beatles,Pop/Rock,1960,31556,Supergrass,Pop/Rock,1990
345734,Rosemary Clooney,Vocal,1940,58360,Betty Buckley,Vocal,1970
549797,Hank Williams,Country,1930,64199,Jimmy Martin,Country,1940
528221,Dave Van Ronk,Folk,1950,38936,Simon & Garfunkel,Pop/Rock,1950
80780,Sheryl Crow,Pop/Rock,1990,20760,Shelby Lynne,Country,1980
79960,Boston,Pop/Rock,1970,32401,Triumph,Pop/Rock,1970
238115,Sam Cooke,R&B;,1950,78044,Bill Withers,R&B;,1960
198532,Doug Sahm,Pop/Rock,1960,26510,Terry Allen,Country,1970
590479,Thin Lizzy,Pop/Rock,1970,31324,Sodom,Pop/Rock,1980
289177,Sam the Sham & the Pharaohs,Pop/Rock,1960,3669,Southern Culture on the Skids,Pop/Rock,1980
617196,Brian Eno,Pop/Rock,1970,30431,Slowdive,Pop/Rock,1980
76561,Billy Ray Cyrus,Country,1980,81619,Keith Urban,Country,1990
61938,Blue Ã–yster Cult,Pop/Rock,1960,17021,Tenacious D,Pop/Rock,1990
106298,Cheech & Chong,Comedy/Spoken,1970,17021,Tenacious D,Pop/Rock,1990
228299,Jean-Luc Ponty,Jazz,1950,22020,Tribal Tech,Jazz,1980
43714,Bee Gees,Pop/Rock,1960,31697,Andy Gibb,Pop/Rock,1970
396676,Randy Travis,Country,1970,15318,Travis Tritt,Country,1980
