influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
25462,Tricky,Electronic,1990,335,PJ Harvey,Pop/Rock,1990
805930,Charlie Christian,Jazz,1930,68780,Kenny Burrell,Jazz,1950
52900,The Lovin' Spoonful,Folk,1960,19297,America,Pop/Rock,1970
219203,U2,Pop/Rock,1970,27221,Sleeping at Last,Pop/Rock,1990
806829,Jane's Addiction,Pop/Rock,1980,50251,Blind Melon,Pop/Rock,1990
659517,Grand Funk Railroad,Pop/Rock,1960,69534,Bon Jovi,Pop/Rock,1980
891063,Misfits,Pop/Rock,1970,22124,Slayer,Pop/Rock,1980
354105,Jimi Hendrix,Pop/Rock,1960,58438,Betty Davis,R&B;,1960
467853,Mick Ronson,Pop/Rock,1960,21009,Slash,Pop/Rock,1980
894956,Otis Rush,Blues,1950,44994,Sonny Landreth,Blues,1970
345734,Rosemary Clooney,Vocal,1940,58360,Betty Buckley,Vocal,1970
673208,Manowar,Pop/Rock,1980,5441,Pantera,Pop/Rock,1980
81083,Bill Monroe,Country,1940,45057,The Louvin Brothers,Country,1940
762500,Bikini Kill,Pop/Rock,1990,26164,Sleater-Kinney,Pop/Rock,1990
