influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
806877,Ruth Brown,R&B;,1940,40225,Gladys Knight,R&B;,1950
308645,Pulp,Pop/Rock,1980,39342,The Bluetones,Pop/Rock,1990
949259,"Harry Connick, Jr.",Vocal,1970,53221,Big Bad Voodoo Daddy,Pop/Rock,1990
205254,Vic Damone,Vocal,1940,38466,Andy Williams,Vocal,1940
117490,Chris Smither,Pop/Rock,1970,13387,Shawn Colvin,Pop/Rock,1970
403120,The Mills Brothers,Vocal,1930,82584,Billy Eckstine,Vocal,1930
152002,Joe Ely,Country,1970,34249,Steve Earle,Country,1980
273531,Liza Minnelli,Vocal,1940,47134,Susannah McCorkle,Vocal,1970
825087,Living Colour,Pop/Rock,1980,78191,Body Count,Pop/Rock,1980
40225,Gladys Knight,R&B;,1950,38805,Angie Stone,R&B;,1970
927627,Mose Allison,Jazz,1950,58549,Elvis Costello,Pop/Rock,1970
140521,The Crew Cuts,Pop/Rock,1950,80428,The Lettermen,Vocal,1950
