influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
237205,Madonna,Pop/Rock,1980,11754,Sheena Easton,Pop/Rock,1980
343396,Roy Brown,R&B;,1940,71970,The J.B.'s,R&B;,1960
31556,Supergrass,Pop/Rock,1990,39342,The Bluetones,Pop/Rock,1990
52900,The Lovin' Spoonful,Folk,1960,19297,America,Pop/Rock,1970
174557,Carole King,Pop/Rock,1950,46925,"Blood, Sweat & Tears",Pop/Rock,1960
75264,Bad Brains,Pop/Rock,1970,1098,Soundgarden,Pop/Rock,1980
848784,Roy Acuff,Country,1930,32193,Tex Williams,Country,1940
183867,John Cage,Classical,1930,26520,Stereolab,Pop/Rock,1990
745241,Status Quo,Pop/Rock,1960,12654,Spinal Tap,Comedy/Spoken,1980
233066,Lou Reed,Pop/Rock,1950,31606,Smog,Pop/Rock,1990
678408,Herbie Mann,Jazz,1950,21747,Chuck Mangione,Jazz,1960
855836,The Promise Ring,Pop/Rock,1990,8591,Sparta,Pop/Rock,2000
66915,Bob Dylan,Pop/Rock,1960,58549,Elvis Costello,Pop/Rock,1970
379125,Neil Young,Pop/Rock,1960,1098,Soundgarden,Pop/Rock,1980
674263,Daniel Johnston,Pop/Rock,1980,31606,Smog,Pop/Rock,1990
198532,Doug Sahm,Pop/Rock,1960,26510,Terry Allen,Country,1970
