,MatchID,Team PlayeRank
0,1,0.05381180160349088
1,2,0.0
2,3,0.05358616632300239
3,4,0.05452108083320357
4,5,0.054053966593113185
5,6,0.054463389001805536
6,7,0.05623177673719784
7,8,0.0
8,9,0.0
9,10,0.05164075891592521
10,11,0.0
11,12,0.061683382963991985
12,13,0.058920425863473146
13,14,0.05217931323257001
14,15,0.05957532370759553
15,16,0.07172965606361666
16,17,0.044756302730111254
17,18,0.05870014269393144
18,19,0.062418087392881565
19,20,0.05084752845263293
20,21,0.05822170668145603
21,22,0.05475555443850757
22,23,0.05860423647460583
23,24,0.060520936695222134
24,25,0.05718391018355604
25,26,0.05618489880741767
26,27,0.058788820556632815
27,28,0.052143395853650305
28,29,0.0
29,30,0.052472462579833436
30,31,0.04848171723814789
31,32,0.053002444340341154
32,33,0.05706627912798874
33,34,0.05053872115584954
34,35,0.0
35,36,0.051089445768803456
36,37,0.05517471825351984
37,38,0.054616531910136226
