,MatchID,OpponentID,Outcome,OwnScore,OpponentScore,Side,CoachID,Flow Centrality,Team PlayeRank,MaxEigenvalue,Connectivity,Clustering Coefficient,Shortest-path Length
0,1,Opponent1,win,1,0,home,Coach1,7.481508638330479,0.0538118016034908,36.05793321691934,3.3926852037725963,2.749306051600984,0.464408790232966
1,2,Opponent2,tie,1,1,away,Coach1,6.279208201900452,0.0,15.058309456550848,0.1905435503019993,1.2445928304807272,0.6734432234432235
2,3,Opponent3,loss,0,2,away,Coach1,7.715311800594519,0.0535861663230023,27.50046094035425,2.0401155784657354,1.907739799284212,0.5032071408445035
3,4,Opponent4,loss,0,3,home,Coach1,7.708378863168532,0.0545210808332035,31.204805563960747,3.855779868153064,2.256374592591727,0.4753777815591001
4,5,Opponent5,loss,0,4,away,Coach1,7.963422119508877,0.0540539665931131,35.506616911646105,3.070941708639591,2.5667328623388945,0.4658575856378054
5,6,Opponent6,win,2,1,home,Coach1,6.943512168416025,0.0544633890018055,30.773909926974437,3.8528405763706552,2.168375759071976,0.4668252382538096
6,7,Opponent7,loss,0,1,home,Coach1,7.700538870627596,0.0562317767371978,36.09808656059788,5.316273186324371,2.747863182793663,0.445247014889872
7,8,Opponent8,tie,1,1,away,Coach1,7.49821488534269,0.0,29.15961023192751,0.2605581150232404,1.860113807153816,0.5121658561218999
8,9,Opponent9,loss,2,5,home,Coach1,5.961657956279131,0.0,14.207226428865578,0.0439888323007284,1.0573476527698378,0.713396127681842
9,10,Opponent10,loss,0,2,away,Coach2,7.18587986234437,0.0516407589159252,33.08690777252386,3.041770152407141,2.41930723228062,0.5074568288854003
10,11,Opponent11,win,3,2,home,Coach2,5.56911994014148,0.0,15.244193340451332,0.2917071719014532,0.911634933760432,0.7029173207744636
11,12,Opponent12,tie,2,2,away,Coach2,5.332713846835678,0.0616833829639919,10.943039701286068,3.139156439942225,0.9000104635322713,0.849175824175824
12,13,Opponent13,loss,1,4,away,Coach2,6.552650565808461,0.0589204258634731,20.48240795727436,4.009689702155165,1.674805943555887,0.6524485435199721
13,14,Opponent14,win,4,0,home,Coach2,7.693208722780767,0.05217931323257,31.93382426835037,2.996231141472167,2.301415371089046,0.5617201784784203
14,15,Opponent15,win,2,0,home,Coach3,6.6973180254947335,0.0595753237075955,23.3305392669453,5.051220047372198,1.759036403615084,0.5355311355311355
15,16,Opponent16,tie,1,1,away,Coach3,4.28100815680739,0.0717296560636166,6.252751587919591,2.3522593413588715,0.4374652111556874,1.0283119658119655
16,17,Opponent17,win,1,0,away,Coach3,6.563982103463761,0.0447563027301112,32.56177673655219,1.0,2.4090291806343123,0.5814159588884864
17,18,Opponent18,win,3,1,home,Coach3,7.558832614323033,0.0587001426939314,30.606835169486885,3.01827160797718,2.3471693319823457,0.4545533170533171
18,19,Opponent3,tie,0,0,home,Coach3,6.42768007224909,0.0624180873928815,20.634903801217455,6.173277993574967,1.71912041999049,0.5508394383394383
19,20,Opponent19,tie,0,0,away,Coach3,5.761049721288768,0.0508475284526329,20.480085000671718,1.0,1.500339367313808,0.662630821559393
20,21,Opponent6,loss,1,2,away,Coach3,7.148309555236573,0.058221706681456,31.499407544381,5.006081983235283,2.1891073011790216,0.4537414965986395
21,22,Opponent5,loss,0,2,home,Coach3,6.830252842533221,0.0547555544385075,21.683950973633696,1.042890984099771,1.539029149636507,0.5720864453007312
22,23,Opponent4,loss,0,4,away,Coach3,6.611330373326859,0.0586042364746058,21.059607967755195,3.5134777656635783,1.4593148938396696,0.6144415108700824
