Source,Target,Type,Id,Weight
2,0,Directed,0,1
2,5,Directed,1,1
5,0,Directed,2,1
5,8,Directed,3,1
6,3,Directed,4,1
7,6,Directed,5,1
8,0,Directed,6,1
9,3,Directed,7,1
10,6,Directed,8,1
10,13,Directed,9,1
14,0,Directed,10,1
14,1,Directed,11,1
14,5,Directed,12,1
14,8,Directed,13,1
14,9,Directed,14,1
15,1,Directed,15,1
15,2,Directed,16,1
15,3,Directed,17,1
15,4,Directed,18,1
15,5,Directed,19,1
15,6,Directed,20,1
15,7,Directed,21,1
15,9,Directed,22,1
15,10,Directed,23,1
15,11,Directed,24,1
15,12,Directed,25,1
15,13,Directed,26,1
15,14,Directed,27,1
