Source,Target,Type,Id,Weight
4,8,Directed,0,1
4,12,Directed,1,1
6,0,Directed,2,1
6,4,Directed,3,1
6,8,Directed,4,1
6,13,Directed,5,1
7,0,Directed,6,1
7,3,Directed,7,1
7,4,Directed,8,1
7,6,Directed,9,1
7,8,Directed,10,1
7,9,Directed,11,1
7,10,Directed,12,1
7,12,Directed,13,1
14,0,Directed,14,1
14,3,Directed,15,1
14,4,Directed,16,1
14,6,Directed,17,1
14,8,Directed,18,1
14,10,Directed,19,1
14,12,Directed,20,1
14,13,Directed,21,1
15,0,Directed,22,1
15,1,Directed,23,1
15,2,Directed,24,1
15,3,Directed,25,1
15,4,Directed,26,1
15,5,Directed,27,1
15,7,Directed,28,1
15,9,Directed,29,1
15,10,Directed,30,1
15,11,Directed,31,1
15,13,Directed,32,1
