,artist_name,artist_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,duration_ms,popularity,count
0,Frank Sinatra,792507,0.34491657327586206,0.23662355441494906,0.35334583836580374,0.45088428135705094,0.6236799879486129,1,5,0.7386023704702753,0.021433692702980473,0.22935880070730183,0.028256572528883188,0.08999156710842988,0.3210417624691358,1.0
1,Vladimir Horowitz,119107,0.2981052756352087,0.11715481895099847,0.2080563671690385,0.3639288842227457,0.40862836992937884,1,1,0.9940466034006722,0.9039135364850978,0.17912663303515705,0.021565915703893886,0.13851539528806814,0.04435034316049383,0.881578947368421
2,Johnny Cash,816890,0.6118460095281307,0.4485134724115807,0.6856191976054192,0.47851723229426296,0.6882281045578346,1,10,0.6883901297932039,0.0232749753340185,0.23990291553983772,0.0802483130081301,0.07311847144784553,0.3285695114814815,0.8062865497076024
3,Billie Holiday,79016,0.5583445213248639,0.19988374869676795,0.4947586294176338,0.4493505622133452,0.6488715994600979,1,5,0.912147129787752,0.013426122302158273,0.2144027023091325,0.041968101198117246,0.08745221424167328,0.19285190827160495,0.7997076023391813
4,Bob Dylan,66915,0.49024272345735026,0.47713534665971613,0.5504213621803287,0.5418083541033607,0.6980807040420353,1,7,0.5648256520822376,0.03516077081192189,0.30931730393176615,0.04421789687633718,0.13235109249052715,0.3809976032098765,0.797514619883041
5,The Rolling Stones,894465,0.5036823695553538,0.7197198813056379,0.6590156876542562,0.5281773413226808,0.778922973944901,1,0,0.29496733525804075,0.1810247245632066,0.2671555876846266,0.030209566752246474,0.11541100807693443,0.4268384325925926,0.7558479532163743
6,The Beach Boys,41874,0.47929295372050823,0.5314688276926778,0.6365662332615659,0.5408517202135045,0.7284161475330811,1,9,0.4000879910530833,0.11856413874614595,0.18679970355731226,0.022219323919554987,0.06469205760798047,0.3451573639506173,0.7258771929824561
7,Elvis Presley,180228,0.47123801497277684,0.4253826259122624,0.6232206007456809,0.45832595570578255,0.6568794065896985,1,0,0.7443891564588836,0.05511096608427544,0.24521100374453922,0.037525123020967055,0.06931225025763771,0.41224591592592597,0.722953216374269
8,Wolfgang Amadeus Mozart,26350,0.3096034199183303,0.13622722551928781,0.31789003623378675,0.4419084531166422,0.4813985169563017,1,7,0.965434196876043,0.5230018365878725,0.18434348346161847,0.048443368635002135,0.1781328302263135,0.11032140882716049,0.6849415204678363
9,Miles Davis,423829,0.43083099137931036,0.3070099496751945,0.4096100246809852,0.47005350074544483,0.6175222538504181,0,0,0.6583438402884324,0.2107636197327852,0.21651933638443938,0.03355911959777493,0.22474943162894145,0.2802497713580247,0.6308479532163743
10,Ella Fitzgerald,184502,0.3957170995916516,0.2402531397866709,0.38150063435383086,0.44451828786688974,0.648330274048543,1,0,0.835756533247087,0.005199937307297019,0.20986245163303516,0.039892906504065045,0.10499428712288143,0.26396578111111113,0.6301169590643275
11,Dean Martin,813392,0.4379336252268603,0.21818534164728523,0.469459071574857,0.4565294075136286,0.6187542281086553,1,7,0.8700757427474901,0.026669045220966085,0.17431637403786146,0.021950396876337184,0.0721001186732928,0.23803562691358024,0.6264619883040936
12,Queen,858827,0.42957681261343017,0.6020235083005855,0.42593078821614244,0.48778515881957957,0.7307502126105715,1,2,0.28432284354023285,0.03262380883864337,0.2672371489494487,0.05117370453572958,0.11676659672971028,0.40182451296296295,0.6264619883040936
13,Lata Mangeshkar,132940,0.47636142695099815,0.3014277748817066,0.6523656986819304,0.48068048357176185,0.6711165463134807,1,1,0.9497850545009087,0.26969838129496404,0.20452532036613272,0.06656544715447155,0.10571155697227548,0.050480109740740735,0.6242690058479532
14,Glenn Gould,803752,0.31714708598003627,0.22076989233298577,0.6469483558262878,0.451224321417597,0.4345213333654704,1,7,0.9842522761995974,0.8903840400822199,0.13273675577283128,0.025906428112965344,0.09170725425000298,0.22947215160493828,0.6067251461988304
15,The Beatles,754032,0.5008796007259527,0.5462015538535568,0.6215507409546814,0.5128702817895228,0.7342742357492347,1,0,0.361802497410163,0.053346487153134635,0.21988905450384855,0.032301046213093716,0.0806632595137782,0.5933426338271605,0.6008771929824561
16,Fleetwood Mac,182900,0.5640492615698729,0.5165772425615527,0.6091941616341963,0.5254367566890868,0.6790579351153317,1,9,0.36121058215129315,0.13395520863309354,0.24156668504264614,0.019466986521181007,0.12242648841837729,0.43054780074074067,0.581140350877193
17,Led Zeppelin,139026,0.3869806374773139,0.6885708507097602,0.5021662280102926,0.5004220338693707,0.7217499440815638,1,2,0.22443417839208854,0.16281693627954777,0.22335431662159352,0.041581529738981604,0.17649158335387538,0.51132296,0.4934210526315789
18,Bob Marley & the Wailers,69402,0.7514120735027224,0.5469887430828454,0.7577429848238197,0.5084538962295287,0.7346826273229049,1,9,0.20506343284544895,0.02927272147995889,0.2893785947576451,0.13891960419341037,0.14287823750088596,0.5324939901234568,0.4422514619883041
19,Nina Simone,411761,0.41295982078039933,0.33032380804394895,0.44809540723625485,0.4753489774318003,0.6452080951577527,1,9,0.7830703402620921,0.03954057553956834,0.2898189993759101,0.037415219298245615,0.11755384292598663,0.35401071839506176,0.4152046783625731
